163,1366,7.96
14,1206,15.54
154,1307,1.84
82,1335,4.22
9,1261,0.26
55,1145,7.54
91,1132,2.10
176,1145,15.62
196,1246,1.81
269,1263,5.35
317,1134,16.88
247,1033,3.14
219,971,6.12
240,862,5.93
301,772,18.12
207,675,18.79
83,677,17.19
22,663,5.18
95,588,18.28
137,673,5.32
83,677,17.19
182,582,1.62
127,359,7.89
154,291,7.29
352,355,8.05
230,120,8.48
286,321,7.56
336,309,7.72
251,26,7.37
339,492,2.69
556,167,3.39
611,69,5.65
753,121,5.43
660,413,7.04
845,124,3.49
917,348,6.54
827,517,4.55
837,517,4.24
845,670,4.02
995,724,6.23
999,731,5.00
1191,593,6.46
1301,544,6.98
1222,767,4.80
1122,894,4.78
968,879,7.77
888,923,7.44
885,1036,5.34
712,1037,5.08
1145,1230,5.90
1118,1246,5.33
961,1373,5.57
820,1364,4.64
391,1130,4.69
